"GEOID","tot_can","MINORPCT","LOWINCPCT","LESSHSPCT","LINGISOPCT","UNDER5PCT","OVER64PCT","SUM_ECSI_open","SUM_LUST_open","countAdv","all_cat","PM25_EPA","PM25_NWAQ_MAX","PM25_Mean_NWAQ","min_dec","min_quin","un5_dec","un5_quin","o64_dec","o64_quin","lhs_dec","lhs_quin","inc_dec","inc_quin","lin_dec","lin_quin","lus_av","lus_max","lus_num"
410019501001,9.984553715,0.055789474,0.394736842,0.143603133,0.004464286,0.016842105,0.252631579,38,3,NA,"Medium",5.325957,5,3.884715,"(0.0503,0.0826]",2,"(0.00931,0.023]",2,"(0.248,0.309]",9,"(0.122,0.157]",8,"(0.38,0.432]",7,"(0, 0.07901]",6,NA,NA,NA
410019501002,9.984553715,0.148678414,0.486218302,0.095531587,0.039800995,0.075991189,0.25660793,3,2,NA,"High",5.325957,6,4.455539,"(0.139,0.172]",5,"(0.0686,0.0812]",8,"(0.248,0.309]",9,"(0.0788,0.0968]",6,"(0.432,0.499]",8,"(0.0218,0.0404]",8,845,845,1
410019501003,9.984553715,0.132092199,0.320035461,0.119760479,0.013392857,0.046099291,0.227836879,10,0,NA,"Low",5.325957,6,3.756139,"(0.109,0.139]",4,"(0.0419,0.0505]",5,"(0.21,0.248]",8,"(0.0968,0.122]",7,"(0.283,0.331]",5,"(0.07901, 0.0218]",7,NA,NA,NA
410019502001,11.88183833,0.03372835,0.186873291,0.042203986,0,0.077484047,0.289881495,0,0,NA,"Low",5.688053,6,5.519426,"(0,0.0503]",1,"(0.0686,0.0812]",8,"(0.248,0.309]",9,"(0.0282,0.0447]",3,"(0.177,0.233]",3,"(0, 0]",1,NA,NA,NA
410019502002,11.88183833,0.179510426,0.522212149,0.122503329,0,0.059836809,0.17225748,25,5,NA,"High",5.688053,6,5.992621,"(0.172,0.212]",6,"(0.0588,0.0686]",7,"(0.158,0.183]",6,"(0.122,0.157]",8,"(0.499,0.592]",9,"(0, 0]",1,NA,NA,NA
410019502003,11.88183833,0.056818182,0.300699301,0.030989273,0,0.062062937,0.196678322,4,0,NA,"High",5.688053,6,6,"(0.0503,0.0826]",2,"(0.0588,0.0686]",7,"(0.183,0.21]",7,"(0.0282,0.0447]",3,"(0.283,0.331]",5,"(0, 0]",1,NA,NA,NA
410019503001,11.28758762,0.051393728,0.472826087,0.104022191,0,0.028745645,0.145470383,5,0,NA,"Low",5.944969,6,4.794513,"(0.0503,0.0826]",2,"(0.023,0.0324]",3,"(0.134,0.158]",5,"(0.0968,0.122]",7,"(0.432,0.499]",8,"(0, 0]",1,NA,NA,NA
410019503002,11.28758762,0.092045455,0.534482759,0.180404355,0,0.032954545,0.313636364,12,1,NA,"High",5.944969,6,4.45987,"(0.0826,0.109]",3,"(0.0324,0.0419]",4,"(0.309,0.832]",10,"(0.157,0.213]",9,"(0.499,0.592]",9,"(0, 0]",1,NA,NA,NA
410019503003,11.28758762,0.069662921,0.440449438,0.211699164,0,0.008988764,0.357303371,11,1,NA,"Medium",5.944969,7,4.566537,"(0.0503,0.0826]",2,"(0,0.00931]",1,"(0.309,0.832]",10,"(0.157,0.213]",9,"(0.432,0.499]",8,"(0, 0]",1,1120,1120,1
410019504001,13.53061773,0.07617051,0.313517339,0.078538813,0,0.057302586,0.250873515,2,1,NA,"High",5.7991,6,6,"(0.0503,0.0826]",2,"(0.0505,0.0588]",6,"(0.248,0.309]",9,"(0.0616,0.0788]",5,"(0.283,0.331]",5,"(0, 0]",1,375,375,1
